"volatile.acidity","citric.acid","alcohol","pH","sulphates","quality","nivell.qualitat"
0.56,0.15,10.5,3.33,0.6,6,"Normal"
0.84,0.21,9.23333333333333,3.53,0.72,6,"Normal"
0.84,0.21,9.25,3.53,0.72,6,"Normal"
0.32,0.25,10.6,3.42,0.97,5,"Normal"
0.53,0.06,10.3,3.38,0.83,6,"Normal"
0.47,0.46,10.5,3.32,0.63,5,"Normal"
0.7,0.08,10.2,3.44,0.58,5,"Normal"
0.53,0.06,10.3,3.38,0.83,6,"Normal"
0.48,0.2,9.05,3.39,0.43,4,"Dolent"
0.32,0.25,10.6,3.42,0.97,5,"Normal"
0.48,0.25,10.4,3.34,0.6,5,"Normal"
0.42,0.19,10,3.39,0.78,6,"Normal"
0.48,0.08,9.7,3.33,0.64,5,"Normal"
0.47,0.08,9.6,3.3,0.65,6,"Normal"
0.53,0.07,10.8,3.29,0.66,6,"Normal"
0.29,0.49,10.1,3.31,0.67,6,"Normal"
0.69,0.08,10.2,3.42,0.6,6,"Normal"
0.44,0.09,11.3,3.42,0.69,6,"Normal"
0.705,0.1,10.2,3.6,0.66,5,"Normal"
0.53,0.13,9.9,3.21,0.68,6,"Normal"
0.39,0.3,9,3.39,0.61,5,"Normal"
0.56,0.14,11.7,3.42,0.62,7,"Bo"
0.55,0.13,9.7,3.36,0.59,6,"Normal"
0.53,0.08,10.3,3.6,0.68,6,"Normal"
0.58,0.08,10.2,3.5,0.64,6,"Normal"
0.64,0.09,12,3.57,0.63,5,"Normal"
0.39,0.32,9.9,3.46,0.78,5,"Normal"
0.52,0.08,11.6,3.56,0.63,6,"Normal"
0.25,0.29,10.9,3.4,0.76,7,"Bo"
0.855,0.02,10.75,3.3,0.56,6,"Normal"
0.44,0.42,10.4,3.25,0.57,6,"Normal"
0.37,0.43,11.2,3.17,0.81,7,"Bo"
0.63,0.33,10.1,3.36,0.64,6,"Normal"
0.57,0.02,10.2,3.36,0.61,5,"Normal"
0.6,0.1,12.1,3.55,0.51,5,"Normal"
0.4,0.5,10.4,3.1,0.58,5,"Normal"
0.36,0.3,11.4,3.24,0.7,8,"Bo"
0.68,0,9.5,3.45,0.53,5,"Normal"
0.67,0,9.4,3.44,0.54,5,"Normal"
0.68,0.01,11.3,3.51,0.66,6,"Normal"
0.735,0,9.4,3.41,0.6,5,"Normal"
0.855,0.02,11,3.54,0.6,6,"Normal"
0.56,0.17,10.55,3.44,0.68,7,"Bo"
0.88,0.04,9.9,3.53,0.56,5,"Normal"
0.855,0.02,11,3.54,0.6,6,"Normal"
0.63,0.33,9.5,3.22,0.56,5,"Normal"
0.6,0.26,9.9,3.21,0.52,5,"Normal"
0.6,0.26,9.9,3.21,0.52,5,"Normal"
0.6,0.26,9.9,3.21,0.52,5,"Normal"
0.695,0.13,10.1,3.29,0.54,5,"Normal"
0.695,0.13,10.1,3.29,0.54,5,"Normal"
0.695,0.13,10.1,3.29,0.54,5,"Normal"
0.67,0.02,10.9,3.39,0.82,6,"Normal"
0.16,0.64,11.2,3.34,0.71,6,"Normal"
0.695,0.13,10.1,3.29,0.54,5,"Normal"
0.56,0.13,9.2,3.34,0.59,5,"Normal"
0.51,0.14,11.5,3.48,0.57,6,"Normal"
0.36,0.53,12.4,3.37,0.93,6,"Normal"
0.38,0.14,11.1,3.44,0.65,6,"Normal"
0.69,0.32,9.5,3.33,0.51,5,"Normal"
0.58,0.2,12.5,3.58,0.67,6,"Normal"
0.31,0.78,10.5,3.39,0.48,6,"Normal"
0.52,0.4,11.8,3.26,0.64,6,"Normal"
0.3,0.63,10.8,3.3,0.78,6,"Normal"
0.7,0.15,11.9,3.54,0.6,6,"Normal"
0.67,0.15,11.3,3.42,0.67,6,"Normal"
0.56,0.09,11.3,3.54,0.6,5,"Normal"
0.35,0.33,11.9,3.36,0.6,6,"Normal"
0.56,0.09,11.3,3.54,0.6,5,"Normal"
0.715,0.1,11.9,3.57,0.5,5,"Normal"
0.46,0.29,9.8,3.33,0.62,5,"Normal"
0.32,0.44,11.6,3.29,0.8,7,"Bo"
0.39,0.44,11.5,3.3,0.84,6,"Normal"
0.31,0.41,11.4,3.34,0.85,6,"Normal"
0.61,0.11,10.9,3.55,0.66,6,"Normal"
0.66,0.33,12.8,3.27,0.78,6,"Normal"
0.725,0.2,9.2,3.29,0.54,5,"Normal"
0.55,0.15,11.6,3.32,0.82,6,"Normal"
0.74,0.09,11.6,3.67,0.56,6,"Normal"
0.51,0.13,11,3.42,0.75,6,"Normal"
0.62,0.08,9.5,3.42,0.82,6,"Normal"
0.6,0.08,10.5,3.45,0.58,5,"Normal"
0.55,0.1,11.2,3.52,0.76,6,"Normal"
0.51,0.13,11,3.42,0.75,6,"Normal"
0.645,0.12,10.2,3.57,0.71,5,"Normal"
0.31,0.47,11,3.39,0.66,6,"Normal"
